sID	Transformation	Side	Selection	Attention_Confirmation	Age	Sex	Duration (sek)
2082	X_sym	right	1	1	27	2	79
2107	X_sym	right	1	1	28	1	335
2110	X_sym	right	2	1	18	2	39
2120	X_sym	right	1	1	28	2	264
2147	X_sym	right	1	1	49	2	64
2163	X_sym	right	1	1	26	2	72
2172	X_sym	right	1	1	21	1	68
2187	X_sym	right	1	1	38	2	152
2191	X_sym	right	1	1	37	1	79
2208	X_sym	right	1	1	43	2	115
2221	X_sym	right	2	1	31	1	85
2238	X_sym	right	1	1	66	2	94
1387	X_transl	left	2	1	52	2	68
1396	X_transl	left	2	1	23	2	80
1418	X_transl	left	1	1	37	1	57
1419	X_transl	left	1	1	36	1	310
1428	X_transl	left	1	1	28	1	139
1460	X_transl	left	2	1	38	2	139
1465	X_transl	left	1	1	26	1	232
1492	X_transl	left	2	1	23	2	89
1495	X_transl	left	1	1	19	2	79
1525	X_transl	left	2	1	32	2	102
1534	X_transl	left	1	1	30	2	113
1543	X_transl	left	2	1	28	2	99
1551	X_transl	left	2	1	76	1	147
1572	X_transl	left	2	1	30	1	195
1582	X_transl	left	2	1	31	2	130
1608	X_transl	left	1	1	21	2	61
1625	X_transl	left	2	1	51	1	113
1634	X_transl	left	1	1	24	1	47
1650	X_transl	left	2	1	35	2	97
1654	X_transl	left	2	1	26	2	193
1661	X_transl	left	1	1	40	2	143
1687	X_transl	left	1	1	27	2	347
1699	X_transl	left	2	1	48	2	52
1719	X_transl	left	2	1	27	1	223
1726	X_transl	left	1	1	48	2	72
1740	X_transl	left	1	1	32	2	695
1757	X_transl	left	2	1	43	1	87
1763	X_transl	left	1	1	18	1	152
1783	X_transl	left	1	1	46	2	95
1806	X_transl	left	2	1	40	1	72
1809	X_transl	left	2	1	24	2	155
1811	X_transl	left	1	1	72	2	102
1839	X_transl	left	2	1	46	1	248
1841	X_transl	left	1	1	34	2	76
1861	X_transl	left	2	1	55	2	161
1884	X_transl	left	1	1	21	1	78
1896	X_transl	left	2	1	61	1	206
1905	X_transl	left	1	1	66	2	132
1926	X_transl	left	1	1	49	1	411
1932	X_transl	left	2	1	19	1	89
1946	X_transl	left	1	1	22	2	175
1987	X_transl	left	2	1	23	2	151
2006	X_transl	left	2	1	34	1	67
2010	X_transl	left	2	1	31	1	126
2036	X_transl	left	1	1	19	2	104
2037	X_transl	left	1	1	33	1	87
2047	X_transl	left	1	1	21	1	156
2063	X_transl	left	1	1	42	2	101
2089	X_transl	left	2	1	11	1	42
2104	X_transl	left	2	1	33	2	127
2111	X_transl	left	1	1	34	2	107
2128	X_transl	left	2	1	18	2	85
2136	X_transl	left	1	1	60	1	207
2151	X_transl	left	1	1	38	2	124
2159	X_transl	left	1	1	32	1	155
2164	X_transl	left	1	1	27	2	151
2197	X_transl	left	1	1	27	1	80
2212	X_transl	left	1	1	30	2	139
2228	X_transl	left	1	1	63	2	105
2232	X_transl	left	2	1	20	2	87
2245	X_transl	left	1	1	38	2	155
1393	X_transl	right	2	1	49	2	113
1399	X_transl	right	2	1	61	2	232
1412	X_transl	right	1	1	31	2	108
1427	X_transl	right	2	1	44	2	98
1453	X_transl	right	2	1	41	1	104
1458	X_transl	right	2	1	20	1	72
1469	X_transl	right	1	1	29	1	66
1478	X_transl	right	2	1	23	1	366
1500	X_transl	right	2	1	23	2	103
1520	X_transl	right	2	1	64	1	97
1521	X_transl	right	1	1	21	2	308
1546	X_transl	right	2	1	24	1	424
1547	X_transl	right	1	1	27	1	66
1553	X_transl	right	1	1	46	2	161
1566	X_transl	right	1	1	66	2	174
1592	X_transl	right	2	1	31	2	117
1610	X_transl	right	2	1	26	2	143
1623	X_transl	right	2	1	32	2	112
1624	X_transl	right	2	1	52	2	707
1659	X_transl	right	2	1	23	1	76
1672	X_transl	right	1	1	27	1	48
1685	X_transl	right	2	1	21	1	71
1711	X_transl	right	2	1	18	2	83
1720	X_transl	right	1	1	30	2	165
1721	X_transl	right	2	1	23	1	52
1749	X_transl	right	2	1	20	1	98
1752	X_transl	right	2	1	68	1	73
1769	X_transl	right	2	1	42	2	79
1794	X_transl	right	2	1	29	2	48
1797	X_transl	right	2	1	27	2	94
1820	X_transl	right	2	1	78	2	123
1821	X_transl	right	2	1	53	1	318
1847	X_transl	right	1	1	25	2	102
1848	X_transl	right	1	1	62	1	116
1862	X_transl	right	2	1	76	1	193
1890	X_transl	right	1	1	36	1	103
1901	X_transl	right	2	1	29	2	99
1915	X_transl	right	1	1	30	1	55
1941	X_transl	right	2	1	22	2	313
